url,nav_count,header_count,selector_used
/,1,1,"nav, header"
/1-percent-commission.html,1,1,"nav, header"
/about.html,1,1,"nav, header"
/affordability.html,1,1,"nav, header"
/agents.html,1,1,"nav, header"
/areas/,1,1,"nav, header"
/blog/,2,1,"nav, header"
/blog/1-percent-vs-3-percent-commission-comparison/,2,2,"nav, header"
/blog/central-ohio-housing-market-2026/,2,2,"nav, header"
/blog/first-time-homebuyer-cash-back/,2,2,"nav, header"
/blog/how-much-save-selling-columbus-home-1-percent/,2,2,"nav, header"
/blog/pre-listing-inspection-benefits/,2,2,"nav, header"
/blog/selling-home-westerville-ohio-2025/,2,2,"nav, header"
/blog/why-agents-leaving-traditional-brokerages-100-commission/,2,2,"nav, header"
/buyers.html,1,1,"nav, header"
/contact.html,1,1,"nav, header"
/fair-housing.html,1,1,"nav, header"
/home-value.html,1,1,"nav, header"
/pre-listing-inspection.html,1,1,"nav, header"
/privacy.html,1,1,"nav, header"
/referrals.html,1,1,"nav, header"
/sellers.html,1,1,"nav, header"
/sitemap-page.html,1,1,"nav, header"
/terms.html,1,1,"nav, header"
