URL,Title,MetaDescription,Canonical,H1Count,H1Text,WordCount,ImagesWithAlt,ImagesWithoutAlt,InternalLinks,ExternalLinks,FormsCount,StructuredDataTypes,SkipLinkPresent,MobileNavPresent,GoogleAdsTag
/,1% Commission Realtor Columbus OH | TD Realty Ohio,Central Ohio real estate with 1-2% listing commission...,https://tdrealtyohio.com/,1,Keep More When You Sell. Save More When You Buy.,450,4,0,28,4,0,"RealEstateAgent,OfferCatalog,AggregateRating",Yes,Yes,AW-17866418952
/sellers/,Sell Your Home for 1-2% Commission | TD Realty Ohio,Sell your Central Ohio home for just 1-2% commission...,https://tdrealtyohio.com/sellers.html,1,Sell Your Home for Less,800,2,0,22,4,0,"Service,FAQPage",Yes,Yes,AW-17866418952
/buyers/,First-Time Homebuyers Get 1% Back | TD Realty Ohio,First-time homebuyers in Columbus OH get 1% of purchase...,https://tdrealtyohio.com/buyers.html,1,First-Time Buyers: Get 1% Back at Closing,900,2,0,20,4,0,"Service,FAQPage,FAQPage",Yes,Yes,AW-17866418952
/contact/,Contact TD Realty Ohio | Columbus Real Estate,Contact TD Realty Ohio for questions about buying...,https://tdrealtyohio.com/contact.html,1,Contact Us,200,4,0,18,4,1,None,Yes,Yes,AW-17866418952
/home-value/,Free Home Value Estimate | TD Realty Ohio,Get a free market analysis of your Central Ohio home...,https://tdrealtyohio.com/home-value.html,1,What's Your Home Worth?,300,4,0,18,4,1,None,Yes,Yes,AW-17866418952
/affordability/,Affordability Calculator | TD Realty Ohio,Calculate how much home you can afford in Central Ohio...,https://tdrealtyohio.com/affordability.html,1,How Much Home Can You Afford?,350,4,0,18,4,0,None,Yes,Yes,AW-17866418952
/areas/,Central Ohio Communities | TD Realty Ohio,Explore Central Ohio communities served by TD Realty Ohio...,https://tdrealtyohio.com/areas/,1,Central Ohio Communities,2500,4,0,36,40,0,BreadcrumbList,Yes,Yes,AW-17866418952
/blog/,Real Estate Blog | TD Realty Ohio,Real estate advice for Columbus homebuyers and sellers...,https://tdrealtyohio.com/blog/,1,Real Estate Blog,400,4,0,32,4,0,Blog,Yes,Yes,AW-17866418952
/about/,About TD Realty Ohio | Travis Debnam Broker,Learn about TD Realty Ohio and broker Travis Debnam...,https://tdrealtyohio.com/about.html,1,About TD Realty Ohio,600,4,0,20,5,0,Person,Yes,Yes,AW-17866418952
/agents/,Agent Opportunities | TD Realty Ohio,Join TD Realty Ohio. 100% commission model for Ohio...,https://tdrealtyohio.com/agents.html,1,Agent Opportunities,400,4,0,18,4,1,None,Yes,Yes,AW-17866418952
/referrals/,Referral Credit Program | TD Realty Ohio,Refer a friend to TD Realty Ohio and earn a referral...,https://tdrealtyohio.com/referrals.html,1,Referral Credit Program,300,4,0,18,4,1,None,Yes,Yes,AW-17866418952
/1-percent-commission/,1% Commission Listing | TD Realty Ohio,List your home for just 1% commission when you also...,https://tdrealtyohio.com/1-percent-commission.html,1,1% Commission Listing,700,4,0,20,4,0,None,Yes,Yes,AW-17866418952
/pre-listing-inspection/,Free Pre-Listing Inspection | TD Realty Ohio,Every TD Realty Ohio listing includes a free pre-listing...,https://tdrealtyohio.com/pre-listing-inspection.html,1,Free Pre-Listing Inspection,600,4,0,20,4,0,None,Yes,Yes,AW-17866418952
/privacy/,Privacy Policy | TD Realty Ohio,TD Realty Ohio privacy policy. How we collect...,https://tdrealtyohio.com/privacy.html,1,Privacy Policy,800,4,0,16,4,0,None,Yes,Yes,AW-17866418952
/terms/,Terms of Service | TD Realty Ohio,TD Realty Ohio terms of service and website usage...,https://tdrealtyohio.com/terms.html,1,Terms of Service,700,4,0,16,4,0,None,Yes,Yes,AW-17866418952
/fair-housing/,Fair Housing Statement | TD Realty Ohio,TD Realty Ohio fair housing commitment and equal...,https://tdrealtyohio.com/fair-housing.html,1,Fair Housing Statement,400,4,0,16,4,0,None,Yes,Yes,AW-17866418952
